Hospital ID,Hospital Name,Total Free Bed,Total Free Critical Bed (without ventilator),Total Free Critical Bed (with ventilator),Total Free Non-Critical Bed,Available Free Critical Bed (without ventilator),Available Free Critical Bed (with ventilator),Available Free Non-Critical Bed,Hospital Phone no.,Cotact Person Name,Contact Person Mobile,Liason Officer Number,Last Update Date
3000002,"Action Cancer Hospital, FC-34,A-4 Paschim Vihar",13,1,1,11,-1,1,2,8376904111,DR. ARCHANA DHAR,8376904111,011-49222222,9/16/2024 8:11:06 PM
3000003,"Kottakkal Arya Vaidya Sala, Karkardooma, Delhi-110092",5,0,0,5,0,0,5,011-22106500,Dr. Premsankar V R,-9868451803,011-22106500,8/28/2024 10:32:17 AM
3000004,"Batra Hospital, 1MB Road, Tughlaqabad, Institutional Area, New Delhi-110062",50,6,0,44,3,0,32,29958747,"Dr. Rakesh kumar Batar, DMS/Dr.Niranjan Rawat DMS",9211770066,7428831858,9/16/2024 11:47:21 AM
3000006,Bhagwan  Mahavir  Hospital,5,1,0,4,1,0,4,27550441-42,Dr. R.K.S Chauhan,9891247037,011-49402744,
3000008,"Dr. B.L Kapur Memorial Hospital, Pusa Road,New Delhi-110005",54,14,2,38,11,2,29,30403040,Ms Tina Singh,8448386700,8448386700,9/16/2024 7:31:15 AM
3000009,"Delhi ENT Hospital & Research Centre, Jasola",3,0,0,3,-6,0,-66,9811000001,Mr. Rakesh Kumar,9015023043,011-40391499,02-02-2023 19:57
3000010,FLT. LT. RAJAN DHALL HOSPITAL,16,4,1,11,0,0,10,011-42776222,Dr. AMIT SINGH,9667000508,011-42776222,9/14/2024 5:07:52 PM
3000011,Max Smart Super Specialty Hospital,25,5,0,20,3,-2,6,1171212121,Hansraj,9810243328,1171212121,9/16/2024 11:50:47 AM
3000012,"Indian Spinal Injuries Centre, Opp. Police Station, Sector –C, Vasant Kunj, Delhi-110070",20,1,2,17,1,2,5,011-42255200,Ms. Manisha Paul,9013573482,011-42255248,9/16/2024 10:02:26 AM
3000013,"Khosla Medical Institute & Research Society, K.M.I.& R. Centre, Paschim Shalimar Bagh, New Delhi",5,0,0,5,0,0,4,27479501,Aruna Guha,9811007624,27479502,
